Record Length,Analog:3500,
Sample Interval,Analog:2.000000E-09,
Vertical Units,CH1:V, CH2:V, CH3:V,,
Vertical Scale,CH1:+2.000000E+00, CH2:+2.000000E+00, CH3:+5.000000E-04,,
Vertical Offset,CH1:+0.000000E+00, CH2:+0.000000E+00, CH3:+0.000000E+00,,
Horizontal Units,us,
Horizontal Scale,+5.000000E-01,
Model Number,T3DSO1204 ,
Serial Number,T0101C21531109,
Software Version,8.3.6.1.37R8,
Source,CH1,CH2,CH3
Second,Value,Value,Value
-4.580000E-07,-1.600000E-01,+0.000000E+00,-3.000000E-04
-4.560000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-4.540000E-07,-1.600000E-01,+0.000000E+00,-1.400000E-04
-4.520000E-07,-1.600000E-01,+0.000000E+00,-1.200000E-04
-4.500000E-07,-1.600000E-01,+0.000000E+00,-1.600000E-04
-4.480000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-4.460000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-4.440000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-4.420000E-07,-8.000000E-02,+0.000000E+00,-2.000000E-04
-4.400000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-4.380000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-4.360000E-07,-1.600000E-01,+0.000000E+00,-1.800000E-04
-4.340000E-07,-8.000000E-02,+0.000000E+00,-2.200000E-04
-4.320000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-4.300000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-4.280000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-4.260000E-07,-1.600000E-01,+0.000000E+00,-1.600000E-04
-4.240000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-4.220000E-07,-1.600000E-01,+0.000000E+00,-1.800000E-04
-4.200000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-4.180000E-07,-8.000000E-02,+0.000000E+00,-2.200000E-04
-4.160000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-4.140000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-4.120000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-4.100000E-07,-1.600000E-01,+0.000000E+00,-1.600000E-04
-4.080000E-07,-1.600000E-01,+0.000000E+00,-1.400000E-04
-4.060000E-07,-1.600000E-01,+0.000000E+00,-1.400000E-04
-4.040000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-4.020000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-4.000000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-3.980000E-07,-1.600000E-01,+0.000000E+00,-1.800000E-04
-3.960000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-3.940000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-3.920000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-3.900000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-3.880000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-3.860000E-07,-1.600000E-01,+0.000000E+00,-1.800000E-04
-3.840000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-3.820000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-3.800000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-3.780000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-3.760000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-3.740000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-3.720000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-3.700000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-3.680000E-07,-1.600000E-01,+0.000000E+00,-1.800000E-04
-3.660000E-07,-1.600000E-01,+0.000000E+00,-1.800000E-04
-3.640000E-07,-8.000000E-02,+0.000000E+00,-2.200000E-04
-3.620000E-07,-8.000000E-02,+0.000000E+00,-2.000000E-04
-3.600000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-3.580000E-07,-1.600000E-01,+0.000000E+00,-3.200000E-04
-3.560000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-3.540000E-07,-1.600000E-01,+0.000000E+00,-1.800000E-04
-3.520000E-07,-1.600000E-01,+0.000000E+00,-1.400000E-04
-3.500000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-3.480000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-3.460000E-07,-1.600000E-01,+0.000000E+00,-3.000000E-04
-3.440000E-07,-1.600000E-01,+0.000000E+00,-3.000000E-04
-3.420000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-3.400000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-3.380000E-07,-1.600000E-01,+0.000000E+00,-1.800000E-04
-3.360000E-07,-1.600000E-01,+0.000000E+00,-1.600000E-04
-3.340000E-07,-1.600000E-01,+0.000000E+00,-1.800000E-04
-3.320000E-07,-1.600000E-01,+0.000000E+00,-3.200000E-04
-3.300000E-07,-1.600000E-01,+0.000000E+00,-3.200000E-04
-3.280000E-07,-1.600000E-01,+0.000000E+00,-3.400000E-04
-3.260000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-3.240000E-07,-1.600000E-01,+0.000000E+00,-1.600000E-04
-3.220000E-07,-1.600000E-01,+0.000000E+00,-1.800000E-04
-3.200000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-3.180000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-3.160000E-07,-8.000000E-02,+0.000000E+00,-2.800000E-04
-3.140000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-3.120000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-3.100000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-3.080000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-3.060000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-3.040000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-3.020000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-3.000000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-2.980000E-07,-1.600000E-01,+0.000000E+00,-1.800000E-04
-2.960000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-2.940000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-2.920000E-07,-1.600000E-01,+0.000000E+00,-2.600000E-04
-2.900000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-2.880000E-07,-1.600000E-01,+0.000000E+00,-3.000000E-04
-2.860000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-2.840000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-2.820000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-2.800000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-2.780000E-07,-1.600000E-01,+0.000000E+00,-1.600000E-04
-2.760000E-07,-1.600000E-01,+0.000000E+00,-1.400000E-04
-2.740000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-2.720000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-2.700000E-07,-1.600000E-01,+0.000000E+00,-3.000000E-04
-2.680000E-07,-1.600000E-01,+0.000000E+00,-3.000000E-04
-2.660000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-2.640000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-2.620000E-07,-1.600000E-01,+0.000000E+00,-1.600000E-04
-2.600000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-2.580000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-2.560000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-2.540000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-2.520000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-2.500000E-07,-1.600000E-01,+0.000000E+00,-2.400000E-04
-2.480000E-07,-8.000000E-02,+0.000000E+00,-2.400000E-04
-2.460000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-2.440000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
-2.420000E-07,-1.600000E-01,+0.000000E+00,-2.200000E-04
-2.400000E-07,-1.600000E-01,+0.000000E+00,-1.800000E-04
-2.380000E-07,-1.600000E-01,+0.000000E+00,-1.800000E-04
-2.360000E-07,-1.600000E-01,+0.000000E+00,-1.600000E-04
-2.340000E-07,-1.600000E-01,+0.000000E+00,-2.000000E-04
-2.320000E-07,-1.600000E-01,+0.000000E+00,-2.800000E-04
