Record Length,Analog:3500,
Sample Interval,Analog:2.000000E-09,
Vertical Units,CH1:V, CH2:V, CH3:V,,
Vertical Scale,CH1:+2.000000E+00, CH2:+5.000000E-02, CH3:+2.000000E+00,,
Vertical Offset,CH1:+0.000000E+00, CH2:+0.000000E+00, CH3:+0.000000E+00,,
Horizontal Units,us,
Horizontal Scale,+5.000000E-01,
Model Number,T3DSO1204 ,
Serial Number,T0101C21531109,
Software Version,8.3.6.1.37R8,
Source,CH1,CH2,CH3
Second,Value,Value,Value
-2.440000E-07,-1.600000E-01,-2.000000E-03,+0.000000E+00
-2.420000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-2.400000E-07,-8.000000E-02,+0.000000E+00,+0.000000E+00
-2.380000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-2.360000E-07,-1.600000E-01,-2.000000E-03,-8.000000E-02
-2.340000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-2.320000E-07,-1.600000E-01,-2.000000E-03,-8.000000E-02
-2.300000E-07,-8.000000E-02,+0.000000E+00,+0.000000E+00
-2.280000E-07,-1.600000E-01,-2.000000E-03,-8.000000E-02
-2.260000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-2.240000E-07,-8.000000E-02,+0.000000E+00,+0.000000E+00
-2.220000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-2.200000E-07,-1.600000E-01,-2.000000E-03,-8.000000E-02
-2.180000E-07,-1.600000E-01,-2.000000E-03,+0.000000E+00
-2.160000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-2.140000E-07,-8.000000E-02,+0.000000E+00,-8.000000E-02
-2.120000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-2.100000E-07,-1.600000E-01,-2.000000E-03,-8.000000E-02
-2.080000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-2.060000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-2.040000E-07,-1.600000E-01,-2.000000E-03,-8.000000E-02
-2.020000E-07,-1.600000E-01,-2.000000E-03,+0.000000E+00
-2.000000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-1.980000E-07,-8.000000E-02,+0.000000E+00,+0.000000E+00
-1.960000E-07,-1.600000E-01,+0.000000E+00,-8.000000E-02
-1.940000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-1.920000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-1.900000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-1.880000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-1.860000E-07,-1.600000E-01,+0.000000E+00,-8.000000E-02
-1.840000E-07,-1.600000E-01,+0.000000E+00,-8.000000E-02
-1.820000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-1.800000E-07,-1.600000E-01,-2.000000E-03,-8.000000E-02
-1.780000E-07,-1.600000E-01,+0.000000E+00,-8.000000E-02
-1.760000E-07,-1.600000E-01,-2.000000E-03,+0.000000E+00
-1.740000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-1.720000E-07,-1.600000E-01,+0.000000E+00,-8.000000E-02
-1.700000E-07,-8.000000E-02,-2.000000E-03,+0.000000E+00
-1.680000E-07,-1.600000E-01,+0.000000E+00,-8.000000E-02
-1.660000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-1.640000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-1.620000E-07,-1.600000E-01,+0.000000E+00,-8.000000E-02
-1.600000E-07,-8.000000E-02,-2.000000E-03,+0.000000E+00
-1.580000E-07,-8.000000E-02,-2.000000E-03,+0.000000E+00
-1.560000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-1.540000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-1.520000E-07,-1.600000E-01,+0.000000E+00,-8.000000E-02
-1.500000E-07,-8.000000E-02,+0.000000E+00,+0.000000E+00
-1.480000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-1.460000E-07,-1.600000E-01,+0.000000E+00,-8.000000E-02
-1.440000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-1.420000E-07,-1.600000E-01,-2.000000E-03,+0.000000E+00
-1.400000E-07,-1.600000E-01,-2.000000E-03,+0.000000E+00
-1.380000E-07,-1.600000E-01,-2.000000E-03,+0.000000E+00
-1.360000E-07,-8.000000E-02,+0.000000E+00,+0.000000E+00
-1.340000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-1.320000E-07,-1.600000E-01,+0.000000E+00,-8.000000E-02
-1.300000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-1.280000E-07,-1.600000E-01,-2.000000E-03,+0.000000E+00
-1.260000E-07,-8.000000E-02,-2.000000E-03,+0.000000E+00
-1.240000E-07,-1.600000E-01,-2.000000E-03,+0.000000E+00
-1.220000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-1.200000E-07,-1.600000E-01,+0.000000E+00,-8.000000E-02
-1.180000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-1.160000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-1.140000E-07,-1.600000E-01,+0.000000E+00,-8.000000E-02
-1.120000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-1.100000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-1.080000E-07,-1.600000E-01,-2.000000E-03,-8.000000E-02
-1.060000E-07,-1.600000E-01,-2.000000E-03,+0.000000E+00
-1.040000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-1.020000E-07,-1.600000E-01,+0.000000E+00,+0.000000E+00
-1.000000E-07,-1.600000E-01,-2.000000E-03,+0.000000E+00
-9.800000E-08,-1.600000E-01,+0.000000E+00,-8.000000E-02
-9.600000E-08,-1.600000E-01,+0.000000E+00,+0.000000E+00
-9.400000E-08,-1.600000E-01,+0.000000E+00,+0.000000E+00
-9.200000E-08,-1.600000E-01,-2.000000E-03,-8.000000E-02
-9.000000E-08,-8.000000E-02,-2.000000E-03,-8.000000E-02
-8.800000E-08,-1.600000E-01,-2.000000E-03,-8.000000E-02
-8.600000E-08,-1.600000E-01,+0.000000E+00,+0.000000E+00
-8.400000E-08,-1.600000E-01,+0.000000E+00,+0.000000E+00
-8.200000E-08,-1.600000E-01,+0.000000E+00,+0.000000E+00
-8.000000E-08,-1.600000E-01,+0.000000E+00,+0.000000E+00
-7.800000E-08,-1.600000E-01,+0.000000E+00,+0.000000E+00
-7.600000E-08,-1.600000E-01,+0.000000E+00,+0.000000E+00
-7.400000E-08,-1.600000E-01,+0.000000E+00,-8.000000E-02
-7.200000E-08,-1.600000E-01,-2.000000E-03,-8.000000E-02
-7.000000E-08,-8.000000E-02,+0.000000E+00,-8.000000E-02
